Lake,D.minutus,D.oregonensis,Diaptomus ashlandi,Diaptomus reighardi,Diaptomus sanguineus,Diaptomus sicilis,Diaptomus siciloides,Epischura lacustris,Limnocalanus macrurus,Senecella calanoides,Bosmina freyi/liederi,Bosmina longirostris,Bythotrephes longimanus,Ceriodaphnia sp.,Chydorus sphaericus,Daphnia sp.,D.catawba,D.dubia,D.galeata mendotae,D.longiremis,D.parvula,D.pulex and D.pulicaria,D.retrocurva,Dahnia ambigua,Daphnia schodleri,"Diaphanosoma spp. (birgei, brachyurum, leuchtenbergianum)",Eubosmina coregoni,Eubosmina longispina,Eubosmina tubicen,Holopedium gibberum,Cyclops scutifer,Cyclops vernalis,Diacyclops thomasi,Eucyclops agilis,Eucyclops speratus,Mesocyclops americanus,Mesocylops edax,Orthocyclops modestus,Tropocyclops extensus,Acantholeberis curvirostris,Acroperus harpae,Alona sp.,Drepanothrix dentate,Ergasilus sp.,Eurycercus lamellatus,Ilyocryptus spp.,Latona setifera,Macrocyclops albidus,Macrothrix sp.,Ophryoxus gracilis,Paracyclops fimbriatus thomasi,Pleuroxus spp,Polyphemus pediculus,Scapholeberis kingi,Sida crystallina,Simocephalus serrulatus,Leydigia leydigi
Evageline,5.169282637,6.547758007,0,0,0,0,0,0,0,0,2.75695074,0,0,0,0,0.689237685,0,0,8.270852219,1.723094212,0.689237685,0,2.067713055,1.37847537,0,13.44013486,0,0,0,0.344618842,0,0,0.689237685,0,0,0,7.581614534,0,13.09551601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,0.011974443,0.011974443,0,0,0,0,0,0,0,0,1.878723551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095795548,0,0,0,0.251463313,0,0,0.011974443,0,0,0,0.011974443,0,0.395156635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freeland,0.313730321,0,0,0,0,0,0,0,0,0,0.752952769,0,0,0,0,0.031373032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031373032,0,7.53432403,0,0,0.627460641,0,0,0,0,0,0,0,0,0,0,0.062746064,0,0,0,0
Frood,8.403378156,3.633893257,0,0,0,0,0,0,0,0,2.952538271,0,0,0,0,0,0,0,12.26438974,0.454236657,0,0,1.362709971,0,0,5.450839885,0,0,0,0,0,0,2.498301614,0,0,0,1.5898283,0,0.454236657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gail,11.75307082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010969448,0,0,0,0,0,0,0,0,0,0,0.001567064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001567064,0.001567064,0,0,0,0,0,0,0,0,0,0,0.009402384,0,0,0,0
Gem,3.137199808,0,0,0,0,0,0,0,0,0,8.739342322,0,0,0,0,0,0,0,2.240857006,0,0,0,0,0,0,3.585371209,0,0,0,0.448171401,0,0.672257102,4.929885412,0,0,0,0.224085701,0,1.344514203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,2.885651333,0,0,0,0,0,0,0,0,0,2.645180389,0,0,0,0,0,0,0,0.240470944,0,0,0,0,0,0,2.805494352,0,1.603139629,0,0.240470944,0,0,3.446750203,0,0,0,0.160313963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Mountain,2.047088907,0,0,0,0,0,0,0,0,0,4.567708938,0,0,0,0.056863581,0,0,0,0,0,0,0,0,0,0,0.284317904,0,0,0,0.852953711,0,0,2.388270392,0,0,0,0.056863581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen,2.416587511,0.089503241,0,0,0,0.089503241,0,0.179006482,0,0,0,0,0,0,0,0,0,0,2.237581028,0,0,0,0,0,0,0,0,0,0,0.626522688,0,0,2.685097234,0,0,0,0.089503241,0,0.268509723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howry,2.205560592,0.689237685,0,0,0,0,0,0,0,0,5.51390148,0,0,0,0,0,0.275695074,0,1.102780296,0,0.137847537,0,0,0,0,5.927444091,0,0,0,0.275695074,0,0,2.343408129,0,0,0,0.689237685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishmael,4.836333419,0.254543864,0,0,0,0,0,1.272719321,0,0,5.345421147,0,0,0,0,0,0,0,0.509087728,0,0,0,0.254543864,0,0,6.618140468,0,0,0,1.781807049,0,0,3.309070234,0,0,0,3.05452637,0,0.254543864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnnie,2.5613099,0,0,0,0,0,0,0,0,0,4.0485221,0,0,0,0,0,0,0,0.0826229,0,0,0,0,0,0,0,0,0,0,0.5783603,0,0,1.1567206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
